Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
,Mon,2016-06-27,18:00 ,Italy it,2–0,es Spain,"76,165",Stade de France (Neutral Site),Cüneyt Çakιr,Match Report,
,Mon,2016-06-27,21:00 ,England eng,1–2,is Iceland,"33,901",Stade de Nice (Neutral Site),Damir Skomina,Match Report,
,Thu,2016-06-30,21:00 ,Poland pl,(3) 1–1 (5),pt Portugal,"62,940",Orange Vélodrome (Neutral Site),Felix Brych,Match Report,Portugal won on penalty kicks following extra time
,Fri,2016-07-01,21:00 ,Wales wls,3–1,be Belgium,"45,936",Stade Pierre-Mauroy (Neutral Site),Damir Skomina,Match Report,
,Sat,2016-07-02,21:00 ,Germany de,(6) 1–1 (5),it Italy,"38,764",Stade Matmut-Atlantique (Neutral Site),Viktor Kassai,Match Report,Germany won on penalty kicks following extra time
,Sun,2016-07-03,21:00 ,France fr,5–2,is Iceland,"76,833",Stade de France,Björn Kuipers,Match Report,
,Wed,2016-07-06,21:00 ,Portugal pt,2–0,wls Wales,"55,679",Groupama Stadium (Neutral Site),Jonas Eriksson,Match Report,
,Thu,2016-07-07,21:00 ,Germany de,0–2,fr France,"64,078",Orange Vélodrome,Nicola Rizzoli,Match Report,
,Sun,2016-07-10,21:00 ,Portugal pt,1–0,fr France,"75,868",Stade de France,Mark Clattenburg,Match Report,Required Extra Time
1,Fri,2012-06-08,18:00 ,Poland pl,1–1,gr Greece,"56,070",Stadion Narodowy,Carlos Velasco,Match Report,
1,Fri,2012-06-08,20:45 ,Russia ru,4–1,cz Czechia,"40,803",Stadion Miejski,Howard Webb,Match Report,
1,Sat,2012-06-09,19:00 ,Netherlands nl,0–1,dk Denmark,"35,923",Oblasny SportKomplex Metalist,Damir Skomina,Match Report,
1,Sat,2012-06-09,21:45 ,Germany de,1–0,pt Portugal,"32,990",L'viv Arena,Stéphane Lannoy,Match Report,
1,Sun,2012-06-10,18:00 ,Spain es,1–1,it Italy,"38,869",Stadion Energa Gdańsk,Viktor Kassai,Match Report,
1,Sun,2012-06-10,20:45 ,Rep. of Ireland ie,1–3,hr Croatia,"39,550",INEA stadion,Björn Kuipers,Match Report,
1,Mon,2012-06-11,19:00 ,France fr,1–1,eng England,"47,400",Donbass Arena,Nicola Rizzoli,Match Report,
1,Mon,2012-06-11,21:45 ,Ukraine ua,2–1,se Sweden,"64,290",NSK Olimpijs'kyj,Cüneyt Çakιr,Match Report,
,,,,,,,,,,,
2,Tue,2012-06-12,18:00 ,Greece gr,1–2,cz Czechia,"41,105",Stadion Miejski,Stéphane Lannoy,Match Report,
2,Tue,2012-06-12,20:45 ,Poland pl,1–1,ru Russia,"55,920",Stadion Narodowy,Wolfgang Stark,Match Report,
2,Wed,2012-06-13,19:00 ,Denmark dk,2–3,pt Portugal,"31,840",L'viv Arena,Craig Thomson,Match Report,
2,Wed,2012-06-13,21:45 ,Netherlands nl,1–2,de Germany,"37,750",Oblasny SportKomplex Metalist,Jonas Eriksson,Match Report,
2,Thu,2012-06-14,18:00 ,Italy it,1–1,hr Croatia,"37,096",INEA stadion,Howard Webb,Match Report,
2,Thu,2012-06-14,20:45 ,Spain es,4–0,ie Rep. of Ireland,"39,150",Stadion Energa Gdańsk,Pedro Proença,Match Report,
2,Fri,2012-06-15,19:00 ,Ukraine ua,0–2,fr France,"48,000",Donbass Arena,Björn Kuipers,Match Report,
2,Fri,2012-06-15,22:00 ,Sweden se,2–3,eng England,"64,640",Donbass Arena,Damir Skomina,Match Report,
,,,,,,,,,,,
3,Sat,2012-06-16,20:45 ,Czechia cz,1–0,pl Poland,"41,480",Stadion Miejski,Craig Thomson,Match Report,
3,Sat,2012-06-16,20:45 ,Greece gr,1–0,ru Russia,"55,614",Stadion Narodowy,Jonas Eriksson,Match Report,
3,Sun,2012-06-17,21:45 ,Denmark dk,1–2,de Germany,"32,990",L'viv Arena,Carlos Velasco,Match Report,
3,Sun,2012-06-17,21:45 ,Portugal pt,2–1,nl Netherlands,"37,445",Oblasny SportKomplex Metalist,Nicola Rizzoli,Match Report,
3,Mon,2012-06-18,20:45 ,Italy it,2–0,ie Rep. of Ireland,"38,794",INEA stadion,Cüneyt Çakιr,Match Report,
3,Mon,2012-06-18,20:45 ,Croatia hr,0–1,es Spain,"39,076",Stadion Energa Gdańsk,Wolfgang Stark,Match Report,
3,Tue,2012-06-19,21:45 ,Sweden se,2–0,fr France,"63,010",NSK Olimpijs'kyj,Pedro Proença,Match Report,
3,Tue,2012-06-19,21:45 ,England eng,1–0,ua Ukraine,"48,700",Donbass Arena,Viktor Kassai,Match Report,
,,,,,,,,,,,
,Thu,2012-06-21,20:45 ,Czechia cz,0–1,pt Portugal,"55,590",Stadion Narodowy,Howard Webb,Match Report,
,Fri,2012-06-22,20:45 ,Germany de,4–2,gr Greece,"38,751",Stadion Energa Gdańsk,Damir Skomina,Match Report,
,Sat,2012-06-23,21:45 ,Spain es,2–0,fr France,"47,000",Donbass Arena,Nicola Rizzoli,Match Report,
,Sun,2012-06-24,21:45 ,England eng,(2) 0–0 (4),it Italy,"64,340",NSK Olimpijs'kyj,Pedro Proença,Match Report,Italy won on penalty kicks following extra time
,Wed,2012-06-27,21:45 ,Portugal pt,(2) 0–0 (4),es Spain,"48,000",Donbass Arena,Cüneyt Çakιr,Match Report,Spain won on penalty kicks following extra time
,Thu,2012-06-28,20:45 ,Germany de,1–2,it Italy,"55,540",Stadion Narodowy,Stéphane Lannoy,Match Report,
,Sun,2012-07-01,21:45 ,Spain es,4–0,it Italy,"63,170",NSK Olimpijs'kyj,Pedro Proença,Match Report,
1,Sat,2008-06-07,18:00 ,Switzerland ch,0–1,cz Czechia,"39,730",St. Jakob-Park,Roberto Rosetti,Match Report,
1,Sat,2008-06-07,20:45 ,Portugal pt,2–0,tr Türkiye,"29,106",Stade de Genève,Herbert Fandel,Match Report,
1,Sun,2008-06-08,18:00 ,Austria at,0–1,hr Croatia,"51,428",Ernst-Happel-Stadion,Pieter Vink,Match Report,
1,Sun,2008-06-08,20:45 ,Germany de,2–0,pl Poland,"30,000",Wörthersee Stadion,Tom Henning Øvrebø,Match Report,
1,Mon,2008-06-09,18:00 ,Romania ro,0–0,fr France,"30,585",Stadion Letzigrund,Manuel Mejuto,Match Report,
1,Mon,2008-06-09,20:45 ,Netherlands nl,3–0,it Italy,"30,777",Stade de Suisse Wankdorf Bern,Peter Frojdfeldt,Match Report,
1,Tue,2008-06-10,18:00 ,Spain es,4–1,ru Russia,"30,772",Tivoli Stadion Tirol,Konrad Plautz,Match Report,
1,Tue,2008-06-10,20:45 ,Greece gr,0–2,se Sweden,"31,063",Red Bull Arena,Massimo Busacca,Match Report,
,,,,,,,,,,,
2,Wed,2008-06-11,18:00 ,Czechia cz,1–3,pt Portugal,"29,016",Stade de Genève,Kyros Vassaras,Match Report,
2,Wed,2008-06-11,20:45 ,Switzerland ch,1–2,tr Türkiye,"39,730",St. Jakob-Park,Ľuboš Micheľ,Match Report,
2,Thu,2008-06-12,18:00 ,Croatia hr,2–1,de Germany,"30,461",Wörthersee Stadion,Frank De Bleeckere,Match Report,
2,Thu,2008-06-12,20:45 ,Austria at,1–1,pl Poland,"51,428",Ernst-Happel-Stadion,Howard Webb,Match Report,
2,Fri,2008-06-13,18:00 ,Italy it,1–1,ro Romania,"30,585",Stadion Letzigrund,Tom Henning Øvrebø,Match Report,
2,Fri,2008-06-13,20:45 ,Netherlands nl,4–1,fr France,"30,777",Stade de Suisse Wankdorf Bern,Herbert Fandel,Match Report,
2,Sat,2008-06-14,18:00 ,Sweden se,1–2,es Spain,"30,772",Tivoli Stadion Tirol,Pieter Vink,Match Report,
2,Sat,2008-06-14,20:45 ,Greece gr,0–1,ru Russia,"31,063",Red Bull Arena,Roberto Rosetti,Match Report,
,,,,,,,,,,,
3,Sun,2008-06-15,20:45 ,Switzerland ch,2–0,pt Portugal,"39,730",St. Jakob-Park,Konrad Plautz,Match Report,
3,Sun,2008-06-15,20:45 ,Türkiye tr,3–2,cz Czechia,"29,016",Stade de Genève,Peter Frojdfeldt,Match Report,
3,Mon,2008-06-16,20:45 ,Austria at,0–1,de Germany,"51,428",Ernst-Happel-Stadion,Manuel Mejuto,Match Report,
3,Mon,2008-06-16,20:45 ,Poland pl,0–1,hr Croatia,"30,461",Wörthersee Stadion,Kyros Vassaras,Match Report,
3,Tue,2008-06-17,20:45 ,France fr,0–2,it Italy,"30,585",Stadion Letzigrund,Ľuboš Micheľ,Match Report,
3,Tue,2008-06-17,20:45 ,Netherlands nl,2–0,ro Romania,"30,777",Stade de Suisse Wankdorf Bern,Massimo Busacca,Match Report,
3,Wed,2008-06-18,20:45 ,Russia ru,2–0,se Sweden,"30,772",Tivoli Stadion Tirol,Frank De Bleeckere,Match Report,
3,Wed,2008-06-18,20:45 ,Greece gr,1–2,es Spain,"30,883",Red Bull Arena,Howard Webb,Match Report,
,,,,,,,,,,,
,Thu,2008-06-19,20:45 ,Portugal pt,2–3,de Germany,"39,374",St. Jakob-Park,Peter Frojdfeldt,Match Report,
,Fri,2008-06-20,20:45 ,Croatia hr,(1) 1–1 (3),tr Türkiye,"51,428",Ernst-Happel-Stadion,Roberto Rosetti,Match Report,Türkiye won on penalty kicks following extra time
,Sat,2008-06-21,20:45 ,Netherlands nl,1–3,ru Russia,"38,374",St. Jakob-Park,Ľuboš Micheľ,Match Report,Required Extra Time
,Sun,2008-06-22,20:45 ,Spain es,(4) 0–0 (2),it Italy,"51,178",Ernst-Happel-Stadion,Herbert Fandel,Match Report,Spain won on penalty kicks following extra time
,Wed,2008-06-25,20:45 ,Germany de,3–2,tr Türkiye,"39,374",St. Jakob-Park,Massimo Busacca,Match Report,
,Thu,2008-06-26,20:45 ,Russia ru,0–3,es Spain,"51,428",Ernst-Happel-Stadion,Frank De Bleeckere,Match Report,
,Sun,2008-06-29,20:45 ,Germany de,0–1,es Spain,"51,428",Ernst-Happel-Stadion,Roberto Rosetti,Match Report,
1,Sat,2004-06-12,17:00 ,Portugal pt,1–2,gr Greece,"48,761",Estádio Do Dragão,Pierluigi Collina,Match Report,
1,Sat,2004-06-12,19:45 ,Spain es,1–0,ru Russia,"28,182",Estádio Do Algarve,Urs Meier,Match Report,
1,Sun,2004-06-13,17:00 ,Switzerland ch,0–0,hr Croatia,"24,090",Estádio Dr. Magalhães Pessoa,Lucílio Cardoso Cortez Batista,Match Report,
1,Sun,2004-06-13,19:45 ,France fr,2–1,eng England,"62,487",Estádio do Sport Lisboa e Benfica,Markus Merk,Match Report,
1,Mon,2004-06-14,17:00 ,Denmark dk,0–0,it Italy,"19,595",Estádio Dom Afonso Henriques,Manuel Mejuto,Match Report,
1,Mon,2004-06-14,19:45 ,Sweden se,5–0,bg Bulgaria,"31,652",Estádio José Alvalade,Michael Riley,Match Report,
1,Tue,2004-06-15,17:00 ,Czechia cz,2–1,lv Latvia,"21,744",Estádio Municipal de Aveiro,Gilles Veissière,Match Report,
1,Tue,2004-06-15,19:45 ,Germany de,1–1,nl Netherlands,"48,197",Estádio Do Dragão,Anders Frisk,Match Report,
,,,,,,,,,,,
2,Wed,2004-06-16,17:00 ,Greece gr,1–1,es Spain,"25,444",Estádio do Bessa Século XXI,Ľuboš Micheľ,Match Report,
2,Wed,2004-06-16,19:45 ,Russia ru,0–2,pt Portugal,"59,273",Estádio do Sport Lisboa e Benfica,Terje Hauge,Match Report,
2,Thu,2004-06-17,17:00 ,England eng,3–0,ch Switzerland,"28,214",Estádio EFAPEL,Valentin Ivanov,Match Report,
2,Thu,2004-06-17,19:45 ,Croatia hr,2–2,fr France,"29,160",Estádio Dr. Magalhães Pessoa,Kim Milton Nielsen,Match Report,
2,Fri,2004-06-18,17:00 ,Bulgaria bg,0–2,dk Denmark,"24,131",Estádio Municipal de Braga,Lucílio Cardoso Cortez Batista,Match Report,
2,Fri,2004-06-18,19:45 ,Italy it,1–1,se Sweden,"44,926",Estádio Do Dragão,Urs Meier,Match Report,
2,Sat,2004-06-19,17:00 ,Latvia lv,0–0,de Germany,"22,344",Estádio do Bessa Século XXI,Michael Riley,Match Report,
2,Sat,2004-06-19,19:45 ,Netherlands nl,2–3,cz Czechia,"29,935",Estádio Municipal de Aveiro,Manuel Mejuto,Match Report,
,,,,,,,,,,,
3,Sun,2004-06-20,19:45 ,Spain es,0–1,pt Portugal,"47,491",Estádio José Alvalade,Anders Frisk,Match Report,
3,Sun,2004-06-20,19:45 ,Russia ru,2–1,gr Greece,"24,347",Estádio Do Algarve,Gilles Veissière,Match Report,
3,Mon,2004-06-21,19:45 ,Switzerland ch,1–3,fr France,"28,111",Estádio EFAPEL,Ľuboš Micheľ,Match Report,
3,Mon,2004-06-21,19:45 ,Croatia hr,2–4,eng England,"57,047",Estádio do Sport Lisboa e Benfica,Pierluigi Collina,Match Report,
3,Tue,2004-06-22,19:45 ,Italy it,2–1,bg Bulgaria,"16,002",Estádio Dom Afonso Henriques,Valentin Ivanov,Match Report,
3,Tue,2004-06-22,19:45 ,Denmark dk,2–2,se Sweden,"26,115",Estádio do Bessa Século XXI,Markus Merk,Match Report,
3,Wed,2004-06-23,19:45 ,Germany de,1–2,cz Czechia,"46,849",Estádio José Alvalade,Terje Hauge,Match Report,
3,Wed,2004-06-23,19:45 ,Netherlands nl,3–0,lv Latvia,"27,904",Estádio Municipal de Braga,Kim Milton Nielsen,Match Report,
,,,,,,,,,,,
,Thu,2004-06-24,19:45 ,Portugal pt,(6) 2–2 (5),eng England,"62,564",Estádio do Sport Lisboa e Benfica,Urs Meier,Match Report,Portugal won on penalty kicks following extra time
,Fri,2004-06-25,19:45 ,France fr,0–1,gr Greece,"45,390",Estádio José Alvalade,Anders Frisk,Match Report,
,Sat,2004-06-26,19:45 ,Sweden se,(4) 0–0 (5),nl Netherlands,"27,762",Estádio Do Algarve,Ľuboš Micheľ,Match Report,Netherlands won on penalty kicks following extra time
,Sun,2004-06-27,19:45 ,Czechia cz,3–0,dk Denmark,"41,092",Estádio Do Dragão,Valentin Ivanov,Match Report,
,Wed,2004-06-30,19:45 ,Portugal pt,2–1,nl Netherlands,"46,679",Estádio José Alvalade,Anders Frisk,Match Report,
,Thu,2004-07-01,19:45 ,Greece gr,1–0,cz Czechia,"42,449",Estádio Do Dragão,Pierluigi Collina,Match Report,Required Extra Time
,Sun,2004-07-04,19:45 ,Portugal pt,0–1,gr Greece,"62,865",Estádio do Sport Lisboa e Benfica,Markus Merk,Match Report,
